reito,-1.47583,-48.45519,Reitoria
bibce,-1.47622,-48.45661,Biblioteca Central Prof. Dr. Clodoaldo Beckmann
vopba,-1.47573,-48.45673,Ver-o-pesinho Setor Basico
bpspa,-1.47285,-48.45531,Base da Prestadora de Servicos Paraiso
clipsi,-1.47265,-48.45565,Clinica de Psicologia
ginas,-1.47324,-48.45556,Ginasio Poliesportivo da UFPA
vadiao,-1.47676,-48.45450,Vadiao
mongv,-1.47658,-48.45539,Monumento Gaspar Viana
capun,-1.47723,-48.45548,Capela Universitaria
cebnu,-1.47511,-48.45539,Centro de Eventos Benedito Nunes (Hangarzinho)
ntpc,-1.47247,-48.45636,Núcelo de Teoria e Pesquisa de Comportamento (NTPC)
fageo,-1.47232,-48.45679,Faculdade de Geofisica
capacit,-1.47223,-48.45720,Coordenadoria de Capacitacao e Desenvolvimento (CAPACIT)
graun,-1.47215,-48.45751,Grafica Universitaria
sepai,-1.47204,-48.45791,SEPAI
ilc,-1.47302,-48.45681,Instituto de Letras e Comunicacao (ILC)
ctic,-1.47505,-48.45620,Centro de Tecnologia da Informacao e Comunicacao (CTIC)
ciac,-1.47551,-48.45627,Centro de Indicadores Academicos (CIAC)
icen,-1.47459,-48.45632,Instituto de Ciencias Exatas e Naturais (ICEN)
ifch,-1.47396,-48.45636,Instituto de Filosofia e Ciencias Humanas (IFCH)
ig,-1.47494,-48.45755,Instituto de Geociencias (IG)
fadesp, -1.47394,-48.45787,Fundacao de Amparo e Desenvolvimento da Pesquisa (FADESP)
icb,-1.47348,-48.45763,Instituto de Ciencias Biologicas (ICB)
audsb, -1.47359,-48.45691,Auditorio Setorial Basico
labhis,-1.47384,-48.45705,Laboratorio de Historia
labant,-1.47388,-48.45679,Laboratorio de Antropologia
biot,-1.47266,-48.45764,Bioterio
bibig,-1.47504,-48.45808,Biblioteca do Instituto de Geociencias
labqui,-1.47537,-48.45796,Laboratorio de Quimica
lco, -1.47549,-48.45822,Laboratorio de Catalise e Oleoquimica (LCO)
lapac,-1.47526,-48.45823,Laboratorio de Pesquisa e Analise de Combustiveis (LAPAC)
cciufpa,-1.47512,-48.45903,Clube de Ciencias da UFPA (CCIUFPA)
iemci,-1.47521,-48.45922,Biblioteca do Instituto de Educacao Matematica e Cientifica (IEMCI)
prefca,-1.47584,-48.45881,Prefeitura do Campus
eduni,-1.47702,-48.45840,Editora Universitaria
rubas,-1.47791,-48.45830,Restaurante Universitario Setorial Basico (RU)
mdorio,-1.47695,-48.45641,Mirante do Rio
basba,-1.47765,-48.45708,Bloco A - Setorial Basico
bbsba,-1.47737,-48.45713,Bloco B - Setorial Basico
bcsba,-1.47711,-48.45766,Bloco C - Setorial Basico
bdsba,-1.47711,-48.45715,Bloco D - Setorial Basico
besba,-1.47689,-48.45765,Bloco E - Setorial Basico
bfsba,-1.47680,-48.45716,Bloco F - Setorial Basico
bgsba,-1.47665,-48.45765,Bloco G - Setorial Basico
bhsba,-1.47661,-48.45727,Bloco H - Setorial Basico
bisba,-1.47644,-48.45777,Bloco I - Setorial Basico
bjsba,-1.47643,-48.45762,Bloco J - Setorial Basico
bksba,-1.47640,-48.45736,Bloco K - Setorial Basico
blsba,-1.47639,-48.45719,Bloco L - Setorial Basico
bmsba,-1.47616,-48.45775,Bloco M - Setorial Basico
bnsba,-1.47588,-48.45729,Bloco N - Setorial Basico
bosba,-1.47565,-48.45732,Bloco O - Setorial Basico
bpsba,-1.47534,-48.45755,Bloco P - Setorial Basico
bqsba,-1.47527,-48.45727,Bloco Q - Setorial Basico
faesa,-1.47361,-48.45396,Faculdade de Engenharia Sanitaria e Ambiental
atart,-1.47397,-48.45385,Atelier de Artes
labtic,-1.47396,-48.45438,Labtic
pgitec,-1.47462,-48.45384,Predio das Pos-Graduacoes do Instituto de Tecnologia (PGITEC)
universitec,-1.47501,-48.45369,Universitec
laequi,-1.47537,-48.45332,Laboratorio de Engenharia Quimica
faau,-1.47542,-48.45283,Faculdade de Arquitetura e Urbanismo
laec,-1.47449,-48.45240,Laboratorio de Engenharia Civil
faem,-1.47395,-48.45286,Faculdade de Engenharia Mecanica
prem,-1.47345,-48.45283,Predio de Engenharia Mecanica
audsp,-1.47444,-48.45194,Auditorio Setorial Profissional
laene,-1.47405,-48.45183,Laboratorio de Engenharia Eletrica
chale,-1.47523,-48.45178,Chale de Ferro
numa,-1.47511,-48.45146,Núcleo de Meio Ambiente (NUMA)
baisp,-1.47411,-48.45106,Bloco de Aulas - Setorial Profissional
baiisp,-1.47389,-48.44997,Bloco de Aulas II - Setorial Profissional
rupro,-1.47351,-48.45075,Restaurante Universitario Setorial Profissional (RU)
voppr,-1.47389,-48.45055,Ver-o-pesinho Setorial Profissional
itec,-1.47306,-48.45072,Instituto de Tecnologia (ITEC)
icsa,-1.47297,-48.44975,Instituto de Ciencias Sociais e Aplicadas (ICSA)
naea,-1.47190,-48.44980,Núcleo de Altos Estudos Amazonicos (NAEA)
neb,-1.47209,-48.44922,Núcleo de Educacao Basica (NEB)
icj,-1.47127,-48.44974,Instituto de Ciencias Juridicas (ICJ)
audicj,-1.47120,-48.44983,Auditorio Jose Vicente Miranda Filho (Auditorio ICJ)
poema,-1.47283,-48.44738,POEMA
labac,-1.47197,-48.44785,Laboratorio de Analises Clinicas
fafarm,-1.47189,-48.44740,Faculdade de Farmacia
faodo,-1.47099,-48.44737,Faculdade de Odontologia
fafito,-1.47121,-48.44617,Faculdade de Fisioterapia e Terapia Ocupacional
orto,-1.47175,-48.44669,Farma Orto
faenf,-1.47121,-48.44667,Faculdade de Enfermagem
gedae,-1.47049,-48.44592,Grupo de Estudos e Desenvolvimento de Alternativas Energeticas (GEDAE)
fanut,-1.47095,-48.44615,Faculdade de Nutricao
bettina,-1.46945,-48.44682,Hospital Universitatio Bettina Ferro de Souza
casmuc,-1.46953,-48.44595,Centro de Atencao à Saúde da Mulher e da Crianca (CASMUC)
cgbs,-1.46839,-48.44794,Centro de Genomica e Biologia de Sistemas
ceamazon,-1.46839,-48.44794,Centro de Excelencia em Eficiencia Energetica da Amazonia (CEAMAZON)
laqle,-1.46673,-48.44621,Laboratorio de Qualidade do Leite
ceabio,-1.46627,-48.44501,Centro de Estudos Avancados da Biodiversidade (CEABIO)
esino,-1.46430,-48.44542,Espaco Inovacao
pctg,-1.46372,-48.44536,Incubadoras de Empresas PCT Guama
labat,-1.46048,-48.44222,Laboratorio de Alta Tensao
inpe,-1.46116,-48.44170,Instituto Nacional de Pesquisas Espaciais (INPE)
ineaf,-1.47234,-48.45675,Instituto Amazonico de Agriculturas Familiares (INEAF)